title,candidate,statement
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Rev. Dr. J. Lawrence Turner,Utilize data and increase accountability 
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Rev. Dr. J. Lawrence Turner,Use force responsibly with community collaboration
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Rev. Dr. J. Lawrence Turner,Criminalize inappropriate use of force
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Rev. Dr. J. Lawrence Turner,"Change police culture, vet potential officers, and shift police training from a “militaristic, aggressive model to a model of service”"
"Memphis faith leaders send letter to city officials calling for changes in police culture
Evan Barnes ",Rev. Dr. J. Lawrence Turner,Reform and empower the Civil Law Enforcement Review Board
"Tear gas use during protests could help spread coronavirus, medical professional says
Desiree Stennett ",Floyd Bonner,"It's a difficult job. That's unfortunate what happened. But what I hope moving forward what we see is that when we have peaceful protests, we're not going to stop people from protesting. That's not what we're here for. We're only here to maintain the peace."" "
"Here's what local officials have said about calls to 'defund police'
Micaela A Watts ",Tami Sawyer,"...for Memphis to disinvest from brutal policing tactics and the school to prison pipeline,"" Sawyer wrote. ""My goal is for Shelby County to not spend half its budget on the Sheriff while cutting education. My goal is not to have to beg companies to have MWBE participation. My goal is for businesses and government to invest in the black community through education, jobs, transportation, access to fresh food and affordable housing and more."" / Sawyer proposed two measures to redirect funds from the Shelby County Sheriff's Office to the county's community services department as well as the county's contingency fund."
"Here's what local officials have said about calls to 'defund police'
Micaela A Watts ",Steve Cohen,"I don't think most people think we should have a society without rules,"" he said. ""You're going to continue, no matter what happens, to have murders, robberies, home burglaries, rapes, and terrorists who could go into movie theaters, etc., and you need police for an ordered society. But they can be reformed, improved, given more help from social service agencies."
"Here's what local officials have said about calls to 'defund police'
Micaela A Watts ",Shelby County Sheriff Floyd Bonner,"warned county commissioners on Monday that cuts to the sheriff's department would be ""devastating."" / Bonner said during the commissioners' live-stream meeting. / Mark Lowe, president of the Shelby County Deputy Sheriff's Association and a current deputy with department's DUI division, laid bare his disapproval. / “We at the Sheriff’s Association, we’re totally against that,"" Lowe said. ""I think it’s dangerous to do something like that, to even think of doing that with things that are going on in society.” "
"Here's what local officials have said about calls to 'defund police'
Micaela A Watts ",Memphis Mayor Jim Strickland,"I’m opposed defunding our police department""... ""With our city’s fight against violent crime, I believe cutting funding from the Memphis Police Department is unwise."" "
"Here's what local officials have said about calls to 'defund police'
Micaela A Watts ",Shelby County Mayor Lee Harris,"“Obviously, in order to have public safety, you’ve got to have all three legs of the stool. You’ve got to have intervention, which means you have to have programing for kids and make sure they have meaningful opportunities to succeed. In addition, you have to have law enforcement and you have to have reentry. I’m for all three..."
"Officer at Shelby County juvenile detention center tests positive for COVID-19
Micaela A Watts and Katherine Burgess ",Van Turner,A detention officer who works in the Shelby County juvenile detention center tested positive for COVID-19 and that the minors in county custody have not yet been tested for the coronavirus. We should do everything that we can to stop the spread inside this facility.
"Officer at Shelby County juvenile detention center tests positive for COVID-19
Micaela A Watts and Katherine Burgess ",Anthony Buckner,"16 youth detainees who came in contact with the employee are under quarantine at the Shelby County juvenile detention center. Currently, none of the detainees is showing signs or symptoms of the virus, but health officials have recommended that youth be closely monitored, as well as be screened for symptoms and have temperature readings twice daily. SCSO implemented a pre-screening protocol for employees and vendors at the center."
"Officer at Shelby County juvenile detention center tests positive for COVID-19
Micaela A Watts and Katherine Burgess ",Tami Sawyer,Asked if the minors could be tested for the virus regardless of symptoms.
"Officer at Shelby County juvenile detention center tests positive for COVID-19
Micaela A Watts and Katherine Burgess ",Alisa Haushalter,"The timing of the test would be ""critical,"" as the minors could test negative initially but later develop symptoms of the coronavirus."
"Officer at Shelby County juvenile detention center tests positive for COVID-19
Micaela A Watts and Katherine Burgess ",Just City,"Sent a letter to Shelby County Sheriff Floyd Bonner urging to release nonviolent offenders and individuals charged, but not convicted, of nonviolent crimes. ""Behind bars, youth are not able to participate in proactive measures to keep themselves safe, such as social distancing, frequently washing hands, or staying in sanitized spaces,"" the letter from Just City read. "
"Officer at Shelby County juvenile detention center tests positive for COVID-19
Micaela A Watts and Katherine Burgess ",Shelby County Schools,We trust that the Sheriff along with all of our Shelby County Government partners are adhering to the guidelines of the CDC and providing the best care for children who are detained in these centers during this pandemic.
"Large police presence at peaceful protests against removal of Confederate statues in Memphis
Ryan Poe, Jennifer Pignolet, Katie Fretland, Ryan Poe and Jennifer Pignolet ",Billy Sessions,"The group intentionally and successfully avoided generating ""a lot of bad PR"" like in Charlottesville, Virginia, thanked Memphis Police for their escort and ""warm welcome,"" and put their estimated numbers at 80 to 110 vehicles."
"Large police presence at peaceful protests against removal of Confederate statues in Memphis
Ryan Poe, Jennifer Pignolet, Katie Fretland, Ryan Poe and Jennifer Pignolet ",Billy Roper,"The city government's ""illegal acts taken in darkness will not be given a pass,"" said his race will not be made ""extinct without a fight,"" and the protests were about the civil war that is coming to America once again."
"Large police presence at peaceful protests against removal of Confederate statues in Memphis
Ryan Poe, Jennifer Pignolet, Katie Fretland, Ryan Poe and Jennifer Pignolet ",Jennifer Cain,"“I wish we had this kind of presence when the police kill us,"" came to the park, in part, to see how police responded to the protesters, and held a sign that read, “Irony, y’all want us to get over slavery, but y’all not over the Civil War!”"
"Large police presence at peaceful protests against removal of Confederate statues in Memphis
Ryan Poe, Jennifer Pignolet, Katie Fretland, Ryan Poe and Jennifer Pignolet ",John Harris,"He was shocked to see the level of police presence and the extra security didn’t make him feel much safer, and also said he was confronted by a police officer who he said asked him to take his hands out of his pockets."
"Large police presence at peaceful protests against removal of Confederate statues in Memphis
Ryan Poe, Jennifer Pignolet, Katie Fretland, Ryan Poe and Jennifer Pignolet ",Charlie Belenky,"He organized a protest against the Confederate supporters at City Hall, but only one other person showed up, and they ended up tossing around a frisbee."
"Officer-involved shooting in Memphis leaves suspect dead
Daniel Connolly and Yolanda Jones ",Floyd Bonner,"Officers had a search warrant for another location and planned to take the suspect there. The suspect tried to flee and rammed into law enforcement vehicles. Deputies got out and saw the suspect reach under a seat. Believing he was going for a gun, two deputies fired and one bullet hit the suspect. Deputies found a semi-automatic weapon in the vehicle, along with drugs."
"Officer-involved shooting in Memphis leaves suspect dead
Daniel Connolly and Yolanda Jones ",Richard Gorman,"Another man, later identified as Richard Gorman, was in the car with Gregory at the time of the shooting and was uninjured. Gorman, 27, was arrested and charged with possession of drug paraphernalia and possession of marijuana with intent to manufacture, deliver or sell. Police said they found 29 grams of marijuana in Gorman's jacket pocket, a digital scale and $485 cash. Gorman admitted to police that the drugs, scale and cash belonged to him. He told police in a statement that he bought the marijuana from Gregory. "
"What Tennessee's new sanctuary cities ban means for Shelby County
Ryan Poe and Ryan Poe ",Floyd Bonner,Shelby County won't violate the new law on sanctuary cities.
"Shelby County Sheriff's spokesman suspended over comments on immigrants' arrests
Daniel Connolly and Yolanda Jones ",Floyd Bonner,"Yesterday, inappropriate comments were posted on the Shelby County Sheriff's Office Facebook account. They were immediately removed and Sheriff Bill Oldham apologized for those comments which did not represent his sentiments or those of the Shelby County Sheriff's Office..."
"Shelby County Sheriff's spokesman suspended over comments on immigrants' arrests
Daniel Connolly and Yolanda Jones ",Fabiola Granada,...It just shows that we need to be how we treat others because it reflects our commitment to the values that define us all as Americans...
"Shelby County Democratic chairman faces backlash over 'name-calling'
Ryan Poe ",Corey Strong,"No matter what the Election Commission has done, the Democratic ticket needs 15k+ non-August Democrats to show up and moderate/suburban Dems to not cross over and vote for the demonstrably racist, homophobic, unethical and unqualified Republican nominees."" "
"Shelby County Democratic chairman faces backlash over 'name-calling'
Ryan Poe ",David Lenoir,"I have zero tolerance for discrimination against any individual or group including race, gender or sexual orientation. I also have zero tolerance for any campaign or party leader who resorts to reckless name-calling and trying to use race to divide our community. My actions and my administration over the eight years as your trustee are a reflection of how I will lead as your county mayor: open and inclusive."" "
"Shelby County Democratic chairman faces backlash over 'name-calling'
Ryan Poe ",Corey Strong,"His 'unqualified' comment was a reference to candidates like sheriff candidate Dale Lane, who 'hasn't worked in law enforcement' in years."" "
"Man charged with fatally shooting half-brother in northern Shelby County
Daniel Connolly ",Floyd Bonner,The suspect waived his right to remain silent and gave a statement to investigators admitting guilt.
"Man charged with fatally shooting half-brother in northern Shelby County
Daniel Connolly ",Floyd Bonner,"I don't know what set him off, but he does have a history of mental illness, Victor Bonner does."
"Former Memphis City Council member Joe Brown says he is recovering from COVID-19
Daniel Connolly ",Joe Brown,"I want to inform the citizens of Shelby County that during campaigning, I contracted COVID-19... I am currently in the process of recovering. We ask for your prayers as we fight this disease that has affected so many in our community. I issue this statement in the spirit of transparency. We have continued to move forward with our transition."
"The 901: Shelby County Schools stands up to Tennessee's athletic association
Ryan Poe ",Joris Ray,"Formed an exploratory committee to consider whether SCS should leave the Tennessee Secondary School Athletic Association (TSSAA), which regulates competitive high school sports across the state due to TSSAA's pandemic response, inattention to equity and high financial burden on Shelby County Schools, its parents and students."
"The 901: Shelby County Schools stands up to Tennessee's athletic association
Ryan Poe ",Reneice Morris,"Her son had to sit out a year after he transferred from Briarcrest due to family circumstances, due to TSSAA requirement of a 12-month wait period for students transferring into private schools to public schools but not the other way around."
"The 901: Shelby County Schools stands up to Tennessee's athletic association
Ryan Poe ",Joris Ray,"TSSAA ruled Memphis East's James Wiseman and Ryan Boyce ineligible ""on grounds that were not set forth in the TSSAA Constitution and Bylaws""."
"The 901: Shelby County Schools stands up to Tennessee's athletic association
Ryan Poe ",Joris Ray,"City of Memphis is committed to being a premier destination for high school, college and professional sports competition, yet, the TSSAA repeatedly insists student-athletes travel hours from their homes for play that is frequently less competitive and severely less diverse."
"The 901: Shelby County Schools stands up to Tennessee's athletic association
Ryan Poe ",Joris Ray,"Based on recent financial statements, SCS and its families incur more than $150,000 in additional costs each year due to TSSAA requirements."
"The 901: Shelby County Schools stands up to Tennessee's athletic association
Ryan Poe ",Joris Ray,"Northwestern's Department of African American studies issued a statement comparing TSSAA's treatment of Memphis public school students to ""clear discrimination."
"The 901: Shelby County Schools stands up to Tennessee's athletic association
Ryan Poe ",Ron Buck,Suggested relocating the Confederate marker in Collierville's Town Square Park to somewhere like the Morton Museum.
"Council recap: Memphis needs blight 'chemo,' Brown says
Ryan Poe ",J.W. Gibson,We need better infrastructure in our district
"Council recap: Memphis needs blight 'chemo,' Brown says
Ryan Poe ",Van Turner,We need to focus on education and workforce development for our youth
"Council recap: Memphis needs blight 'chemo,' Brown says
Ryan Poe ",Frank Colvett,Public safety is a top priority for me
"Council recap: Memphis needs blight 'chemo,' Brown says
Ryan Poe ",Paul Young,We need to work on economic development and bringing more jobs to our district 
"Council recap: Memphis needs blight 'chemo,' Brown says
Ryan Poe ",Floyd Bonner,I am committed to transparency and accountability in local government 
"Council recap: Memphis needs blight 'chemo,' Brown says
Ryan Poe ",Joe Brown,Our community needs more programs for youth and families 
"The 9:01: Herenton re-commits to running for Memphis mayor in 2019
Ryan Poe ",Willie Herenton,"I have every intention of being a candidate in the 2019 election"", ""my goal is to move Memphis towards the progressive city it is destined to be"", ""I am, and have always been, a man of the people, from the people, and for the people of Memphis"
"The 9:01: Herenton re-commits to running for Memphis mayor in 2019
Ryan Poe ",Steve Cohen,"vote no"" on three Memphis referenda on Nov. 6 ballot"
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",Berlin Boyd,"His annual disclosure, filed in January, omitted his employment with FedEx Logistics that he started seven months prior."
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",Berlin Boyd,He initially refused to answer questions regarding his start date with the company.
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",Berlin Boyd,Has updated his filing with the Tennessee Ethics Commission to include the job.
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",Berlin Boyd,He listed his firm Boyd & Associates as his sole source of income in his original disclosure to the Tennessee Ethics Commission.
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",Berlin Boyd,"Upon the announcement of the FedEx Logistics move to the Gibson Guitar Factory building, it was revealed that the move was his idea."
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",Joe Brown,Voted against the new requirement to include their annual disclosures on the city website.
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",Frank Colvett,Voted in favor of the new requirement to include their annual disclosures on the city website.
"Memphis Councilman Berlin Boyd files new state disclosure listing FedEx Logistics job
Jamie Munks and Sarah Macaraeg ",Worth Morgan,"Sponsored the resolution requiring council members to include on their city web page a PDF copy of their annual disclosure, or a link to their disclosure filed with the Tennessee Ethics Commission."
"No charges filed in deputies' fatal shooting of woman in Lakeland; autopsy lists 7 bullet wounds
Daniel Connolly ",Floyd Bonner,"It wasn't like she had her back toward those officers and they shot her in the back. I mean, I know what the autopsy says, but if you saw the film you'd understand it better."" "
"Four Memphis City Council members walk out of meeting, stopping controversial District 1 appointment vote
Jamie Munks ",Joe Brown,We would rather walk out and not be a part of a sham to put somebody in that position who is not entrenched and not invested in the community.
"Four Memphis City Council members walk out of meeting, stopping controversial District 1 appointment vote
Jamie Munks ",Martavius Jones,We would rather walk out and not be a part of a sham to put somebody in that position who is not entrenched and not invested in the community.
"Four Memphis City Council members walk out of meeting, stopping controversial District 1 appointment vote
Jamie Munks ",Patrice Robinson,We would rather walk out and not be a part of a sham to put somebody in that position who is not entrenched and not invested in the community.
"Four Memphis City Council members walk out of meeting, stopping controversial District 1 appointment vote
Jamie Munks ",Jamita Swearengen,We would rather walk out and not be a part of a sham to put somebody in that position who is not entrenched and not invested in the community.
"Four Memphis City Council members walk out of meeting, stopping controversial District 1 appointment vote
Jamie Munks ",Berlin Boyd,"The process quickly became partisan in a non-partisan body. Therefore, I decided I would not vote in the process."
"Four Memphis City Council members walk out of meeting, stopping controversial District 1 appointment vote
Jamie Munks ",Worth Morgan,To my absent City Council colleagues...
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Jim Strickland,"I want to first, express my deepest sympathy and condolences to the victims and their families who are suffering from this senseless murder rampage. I'm angry for them, and I'm angry that our citizens had to shelter in place for their own safety until the suspect was caught. This is no way for us to live and it is not acceptable."
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Karen Camper,“Our city is hurting. My heart goes out to the families of those killed and injured tonight. It was an unspeakable horror and it occurred just days after our city was devastated by another tragedy: the terrible murder of elementary school teacher Eliza Fletcher. It’s been a sad few months for Memphis. There is a long road ahead and much work ahead for us to do in order to begin to heal our city and we will have those policy discussions. But now we have to lock arms and pray for all of the victims of this week and the past few months and not let these tragic circumstances tear our hearts away from the city we all love.”
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",London Lamar,Woke up with a heavy heart this morning — just in disbelief. I didn’t sleep peacefully. I’m tipping around the house scared. This is no way to live!
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Raumesh Akbari,"Memphis. Our Memphis. Our city. We are tired; we are exhausted. There has been so much loss; too many families grieving. There is so much good in this city that's being overshadowed by evil. So much light being threatened by darkness. It's going to take not just elected officials, not just law enforcement, but the entire community to heal our city. Clergy, community leaders, business leaders, everyone."
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Brian Kelsey,"Evil is real, and we must make a stand against this senseless violence in our community. The people of Memphis have suffered enough! Thank you to the citizen who first reported these horrific shootings and to the law enforcement who worked quickly to bring them to an end."
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Antonio Parkinson,"Will it keep (Kelly) away longer yes, but that's a small part of the solution and it's after lives have been lost or negatively affected. We have to now shift to addressing the conditions that created Abston and [Ezekiel] Kelly. We own this situation. We as a city or society are responsible because we missed an opportunity to intervene early on, even a generation ago with their parents. He didn't just become the shooter yesterday. It happened over the last 19 years of his life and we missed him and many, many more of our children. And if we don't get it right, we will see this again."
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Chase Carlisle,"I understand it feels like so much violence and evil to experience in such a short time. We are SO much more than this,"" he wrote. ""I'll never tell anyone how to feel. But I want you to stay. I want you to stay and I want you to fight. Fight for the Memphis you believe in. The Memphis we want to be. I will be there with you. I love my city."
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Mickell Lowery,"“We see violence in our community every day and quite frankly, we turn a blind eye to it, we get used to it, We’ve got to stop being used to it. We’ve got to change the culture here in Memphis and Shelby County. It’s not OK. … It has to come to a turning point where it’s a wakeup call.”"
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Britney Thornton,"“There’s a divide that we don’t really speak to, a socioeconomic divide. We’re talking about poor Black issues here,”  “If we steep these in poor Black-centered conversations, it takes on a whole different reality that’s not just a one-time event, it’s an everyday occurrence that we are numb to. … (but) I think if every single person who hears the sound of our voices, you can do small actions that connect to other actions and I think people will start to see changes over time.”"
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Shante Avant,"“We as an elected body are committed to work with law enforcement, to work with our community agencies, but also to work with our schools to make sure we’re providing the necessary emotional wellbeing and support to our students.”"
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Steve Cohen,"“What has been happening in my hometown is harrowing and disturbing. I have been concerned for some time about the crime situation and have spoken with the relevant public officials about addressing the issue. I have suggested convening a summit with the two mayors, the District Attorney General, the Police Director, the Shelby County Sheriff, the school board president and the juvenile court judge. We need a comprehensive approach involving the schools and the juvenile justice system to help reverse these disturbing trends."
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Josh Spickler,"People deserve to be safe and feel secure as they move about our city. We extend our deepest sympathies to those experiencing the pain and anguish of loss. Our community is suffering from years of disinvestment in neighborhoods and from ineffective policies that have failed us time and time again. Consequently, there are no immediate solutions. People who commit violent crime must be held accountable. But addressing harm and building a system that heals and restores must be our shared goal. Now is the time for a new way. We cannot afford to double down on bad policy, play politics with people’s lives, or prey on their fears."
"'Our city is hurting': Memphis leaders react to deadly shooting spree with anger, sadness
Corinne S Kennedy ",Jason Martin,"No person, no family, and no city should have to live through the terrifying nightmare of gun violence that Memphis had to endure last night."
"Memphis has the most TennCare enrollees — but won't get a public hearing on proposed changes
Max Garland ",Karen Camper,"has requested the Division of TennCare hold a public hearing in Shelby County""- letter"
"Memphis has the most TennCare enrollees — but won't get a public hearing on proposed changes
Max Garland ",Steve Cohen,called for a Shelby County hearing to be scheduled” and sent a letter to Gov. Bill Lee
"The 9:01: Shelby County should sue the state over unfair school vouchers
Ryan Poe ",Karen Camper,"It was drafted, probably circulated among the other members on the other side, and the minority voice was not heard, yet again,"" Camper said from the floor, describing a lack of transparency with Democrats on ""one of the most important bills this year."
"The 9:01: Shelby County should sue the state over unfair school vouchers
Ryan Poe ",Joris M. Ray,"If the governor and legislature are determined to pass a general law that would apply arbitrarily only to us or a limited number of school systems, we will be sure to exhaust all of our legal options,” SCS Superintendent Joris M. Ray said in the statement."
"MPD, Memphis City Council put pressure on schools, court system after crimes
Samuel Hardiman ",Frank Colvett,"In many ways colleagues, we are giving the police what we need. The more I've thought about it... Memphis, if you think about it in terms of an ecosystem, to say that we need more police officers is one part of the solution."
"Memphis City Council wants city to find another trash pick-up service for Hickory Hill, Cordova
Samuel Hardiman ",J. Ford Canale,"As a basic function of city government, citizens expect to put their garbage out and for it to be collected, without piling up in their front yard. Waste Pro has come short of fulfilling their contract. The very least we can do is replace Waste Pro with a contractor who can do their job on time, every week! Our citizens of Area E deserve better and I am committed to ensuring citizens get just that! It is time for the City of Memphis to cut all ties with Waste Pro.”"
"Memphis City Council wants city to find another trash pick-up service for Hickory Hill, Cordova
Samuel Hardiman ",Chase Carlisle,I applaud Mayor Strickland for accepting responsibility for the failures that have occurred in Area E. Waste Pro must be held accountable for its continued lack of adequate services. We look forward to expeditiously working towards a solution that delivers the services our citizens fund and deserve.”
"Memphis City Council wants city to find another trash pick-up service for Hickory Hill, Cordova
Samuel Hardiman ",Frank Colvett,"Due to the egregious nature of service, Councilmembers Logan and Robinson and Chairman Colvett will bring forward legislation to request a one-month credit for all of those affected by the lack of adequate service residing in Area E."
"South Memphis development plan involving TIF announced, backed by Shelby Co. mayor
Max Garland ",J.W. Gibson,"“We’re proposing multi-family housing, we’re proposing single-family housing, we’re proposing elderly housing.”"
