complaint_type,complaint_id,status,date,description,text,url
Problems with Product/Service,1590525143,Answered,03/07/2023,Customer response," 
Complaint: 19491662

I am rejecting this response because: They are correct all repairs were made but yes it took a while my ceiling was down for a whole month and attracted spiders and more it got fixed two days before My apartment flooded. I will not go back and forth about this and I will speak with them but far as my son , I was honest about that whole situation and never denied anything but it was more than just him , further more while is he being put on the bar list while the other occupants that were with him is 18 as well and he is in his last year of high school. All my children are on my lease and my son just turned 18 last after I renewed my lease. So no I do not agree. If I was in violation of lease why was I not evicted. No they are they trying to cover themselves because of this. I spoke with ebony just yesterday and we spoke about this issue and she said would check the lease. I had no plans to renew my lease but due to the fact I had Covid 19 and I was affected by it I fell behind and she filed on me. Now because of this  judgment alone From ******************** everyone is denying me even though  my account was paid in full. I am Christian ***** and it takes a lot to get me  upset but something has to be done. So I pray God steps in this situation because this is not fair. Wrong is wrong and right is right but dont lie on me like my has not been coming into the office and paid rent twice while I was at work and signed his name but Im in violation!!!!  My son will be 19 come this July. Dont try to make me look bad when all I ever asked  for was communication. Im done with matter and do not agree with their response. Some of it was true some of it was not.!!!!! Furthermore this about them not my son! But since it was put out there I responded. My son was in office with me when I got approved because ************************* approved me. Enjoy your day 

Sincerely,

*********************",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,02/07/2023,Initial Complaint,"on 12/24/22, 3pm, a pipe burst in my son's bathroom wall causingwater to rush into his bathroom,bedroom, hall and hall closet. I immediately called in an urgent maintenance request having to leave a message. I went outside to inspect, I could hear water ******* through the walls down to a storageroom below and outside the driveways down to the parking lot. It was tons of water. While outside, I ran into my neighbor, who told me her unit was also flooding and had been since around 1 pm (2+hrs). She explained she had called emergency maintenance and the office 20+ times and had not received any feedback in hours. After waiting nearly anhour for maintenance to call me back, I jumped in my car, risking my life riding on ice to search for someone to help. I was able to find a maintenance person to trail me and cut off the water. My family and pets packed up to leave for the rest of the weekend. Understanding it was the Christmas holiday, I waited until Tuesday the following week to return to check on my unit. I found that no one had been out. Within those 4 days, I had not received a call or email from ******* Staff or Fogelman. The same day, I went to the leasing office and found that the office was closed down due to damage from the storm.Between 12/24 and 01/03/23, I repeatedly called and emailed ******************** Staff and Fogelman. I did not receive any direct contact back until I reached out to Code Enforcement. After 12 days, my neighborsadvised water was restored to our building and we returned home.I waited a few days expecting to hear back from staff regarding scheduling to have the walls fixed and the damaged/mildewed carpet removed. I was never contacted. 01/10/23, I emailed ****************************** detailing the ordealI had already been through and asking for an update on repairs needed. Finally, I received a response, I was given a half apology along with multiple excuses as to why no one had contacted me in 17 days. I was given a credit on my lease for the days I was away and told I would get an update on repairs later.No one ever contacted me back. During this time, men from the restoration team (strangers) were randomly entering apt without any notice every other day. On 01/13/23, a man came to inspect, he advised my apt would be demolished soon. He explained they were planning to tear the wall out. To reiterate, ******************** had not provided any updates to me. NONE. I reached out (via email as I could never reach anyone in person or over the phone) asking for them to advise what construction would be done and when itwould start. I was told (via email), they were waiting on insurance adjusters etc before they could update me with any info.On Jan 20th, multiple people came in, advising they would start the demo in 10mins. I was given 10mins to gather belongings and leave. When I returned later that evening the entire front half of my apt had been gutted. The front entry, kitchen, hallway, bedroom, living room, and sunroom was nothing but wood frame. This is when I realized I had been moved into a unit that already had extensive mold and mildew issues. Also, without warning the water was turned off so there was no water, no heat so my family and I could not stay. I again gave my apts time to send out an update or call but I got nothing. On 01/23/23, I emailed again. This time detailing my extreme dissatisfactionregarding not being notified of demolitionetc. Fogelman reached out (via email) letting me know that basically, they were too busy to help me or contact me due to their multiple properties affected by the storm and the millions of dollars they expect to be out of. She let me know that if I was so unsatisfied she would release me from my lease. I was insulted and finally understood that ********************************************* do not care that their residents are suffering. My family and I have been in a hotel for 19 days now. I have not received a response from anyone since I last reached out Jan 23rd.",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,03/06/2023,Business response,"On December 24, 2022, during a major freeze/ice storm several pipes burst within the community of ******************** Apartments.  ********************** unit was one of many affected.  Due to extensive water damage her unit required demolition in order to restore it as well as several others.  It was not feasible to inhabit the unit while the restoration work was being done.  One January 10th, 2023, a rent credit of $613.09 was placed on ********************** account along with a utility credit of $45.92 on January 12, 2023.  The onsite team discussed her lease being terminated and the option to vacate the property or transfer to another unit onsite.  On February 7th, 2023, a rent credit of $518.77 was placed on ********************** account.  ****************** communicated via email with the Assistant Manager and decided on February 9, 2023, to transfer to another unit. ****************** is scheduled to move into her new unit on April 7, 2023.
 ",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,03/07/2023,Customer response," 
Complaint: 19348550

I am rejecting this response because: Unfortunately my complaint is not completely resolved yet. The property manager's response is correct, over the last few weeks Ebony has been most helpful in addressing my needs but the earliest move date I've been given is April 7th. That will be a total of 11 weeks my family and I will have spent displaced. I am not happy at all about the time frame but I do appreciate the management team offering alternative solutions and being more responsive. Once I am fully moved into a unit and my account has been credited for 02/01 - 04/06/23, I will consider this matter fully resolved. Thank you

Sincerely,

***************************
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,03/21/2023,Business response,"******************** and the management company have been as accommodating as possible, considering the circumstances surrounding this weather event.  The absence of the residents was required in order for the repairs to be made. They still however maintain possession of the unit, which houses their belongings.  A rent credit of $724.00 (which is 50% of the rent total) will be placed on their account, along with a $26.50 water credit, $5.00 trash credit, and a $2.00 pest control credit making the credit total $757.50.  We feel this is fair and no additional credits will be given pertaining to this matter.
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,03/21/2023,Business response,"As a goodwill gesture, management has included an additional credit for March of $757.50 to ********************** account.  A total credit of $1515.00 will be placed on her account by close of business tomorrow.
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,03/22/2023,Business response,"From the BUSINESS:
Sent 3/21/2023 2:05:33 PM
Read by **************************************************** on 3/21/2023 2:43:54 PM
******************** and the management company have been as accommodating as possible, considering the circumstances surrounding this weather event.  The absence of the residents was required in order for the repairs to be made. They still however maintain possession of the unit, which houses their belongings.  A rent credit of $724.00 (which is 50% of the rent total) will be placed on their account, along with a $26.50 water credit, $5.00 trash credit, and a $2.00 pest control credit making the credit total $757.50.  We feel this is fair and no additional credits will be given pertaining to this matter.
From the BUSINESS:
Sent 3/21/2023 2:37:20 PM
Read by **************************************************** on 3/21/2023 2:44:05 PM
As a goodwill gesture, management has included an additional credit for March of $757.50 to ********************** account.  A total credit of $1515.00 will be placed on her account by close of business tomorrow.
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,04/10/2023,Customer response," 
My Apt has been without running water, heat, and air conditioning for a total of 13 wks (and AC is not working). On 01/20, my apt walls was gutted, the bathroom sink and kitchen cabinets were removed with no prior notice & after 75 days repairs are not done. This continues to be a life-altering issue that has affected my work, business, and mental stability. ******************** continues to fail in its communication of important updates and changes, the staff shows no sympathy and has done nothing to speed up the repairs in my unit. On 02/08, 19 days after my apt was gutted, I was able to reach Ebony in person after days of no response to emails and calls. She offered to transfer us to unit 09-2021 w/ my exact floor plan and upgrades. I was initially advised the unit would be ready 03/18, and then later I was advised the unit would be ready on 04/07. I accepted this alternative and made arrangements by transferring bills, utilities, and hiring movers. I called 03/29 to ensure unit 09-2021 would be ready as promised. ******************, the unit would definitely be ready by 04/07. About an hour later, I received an email advising 09-2021 will not be ready and it could take addt'l 30 days. I asked what happened, why wasn't I told sooner, and was advised the unit had been assigned to be renovated and coincidentally they had just been notified. I was offered another unit but after 13 weeks of being displaced, and being told conflicting information countless times, I've decided to remain in my leased unit (09-1024) now that the water has been turned back on after 11 weeks. I notified the ******************** team that I decided to remain in my apt yesterday, 04/04/23, as of today, the transfer unit has been removed from my residential account, and per usual I have not received any response or feedback from ******************** or Fogelman.
I've spoken to ********************, they assure me they are able to work around us living here and work is expected to be completed within 2 weeks. ; I would like my unit completed. The *** walls, floors, plumbing and cabinetry upgrades done within 10 business days.
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,04/18/2023,Business response,"All storm damaged areas of the original unit have been repaired by BluSky.   The air conditioner was repaired by onsite maintenance.  
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,04/19/2023,Business response,"Date Sent: 4/18/2023 9:58:59 AM
All storm damaged areas of the original unit have been repaired by BluSky.   The air conditioner was repaired by onsite maintenance.  
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Advertising/Sales Issues,1590525131,Resolved,04/19/2023,Customer response," 
Better Business Bureau:

 I will note that I worked directly with BluSky over the last 2 weeks to resolve this issue. Kudos to the BluSky team for making my family and me a priority. After 12 weeks of basically begging ********************/Fogelman staff for help, I reached out to the BluSky team and they completed construction within 10 days as promised. I reported the A/C 04/04, online, email & in person. I don't have any record of the maintenance team coming out, the maintenance request is still showing open. I've been running the air for 30 mins now, and the inside temp of my apt has not changed one degree. I am only accepting this resolution because I am completed exhausted with ********************/Fogelman ignoring their responsibilities and ignoring my residential needs. 

Sincerely,

***************************
7410 *************** 204
*******, ** 38016",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525142,Answered,02/06/2023,Initial Complaint,"I live in ******************** Apartments in *******, **. Beginning Christmas Eve, 2022 when we had the hard freeze, pipes burst all over the apartment complex. Ruined a lot of things in my daughter's room, the guest bedroom and bathroom, in my laundryroom, and in my hallway. We were out of water for ************************************************ her room because holes are cut out of the walls all around her bedroom and closet, holes are cut out in the guest bathroom (my daughter's bathroom, sink is pulled out, unable to use the bathroom still unto this day. We have bugs crawling, I have asked numerous of times for them to have pest control to come out, they still have not came out. This is suppose to be a GATED COMMUNITY, but because the gates are constantly open, people are coming into the complex stealing cars every week, 2-3 cars a week. My car was stolen the day after Thanksgiving, and several more cars have been stolen since then. Several of my neighbors cars have been stolen since then. My daughter hasn't been able to sleep well because she is unable to sleep in her room, which has caused her some stress, which in turn has caused her to have her 1st Seizure in 2 years. My Mail has been stolen out of the mailbox, we have mold all throughout the apartment, and my daughter suffers from asthma. For several weeks, we were unable to reach anyone in the front office. They haven't tried at all to communicate with us on how long she are expected to live under these conditions. They allowed some people to get out of their lease, with no penalties, which brings me to you guys. I am leaving here, I want out of my lease without any penalties, but they want me to pay the rent for this month, February, and I'm vacating on the 13th. Another tenant who was just let of his lease, was not charged any rent, he was not penalized at all. Maybe it's because he moved into their ""sister property."" I did not want to move into another apartment complex, I'm gonna be renting a house, which should be my choice.",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525142,Answered,03/07/2023,Business response,"December 24, 2022, our city was hit with a major freeze/ice storm.  There were multiple water main/pipe breaks throughout the city and this community.  We were at the mercy of overwhelmed contractors and insurance adjusters because of the massive damages.  No repairs could begin until insurance adjusters gave prior approval.  Due to the extensive damages ************** had to vacate her home.  She was given the option to relocate to a sister community and she declined.  She was let out of her lease with no penalty, and $1426.11 was credited back to her account.  She vacated the community on February 17, 2023.  Her previous unit was scheduled for demolition.",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525141,Answered,01/05/2023,Initial Complaint,"Apartment flooded on Christmas Eve (12/24/22) from a frozen sprinkler system pipe at roughly 5:30pm. On sight maintenance stated fans would be placed in unit to help dry the damage at roughly 6:30 pm. After celebrating Christmas with family and returning to the unit, fans were not placed in the unit. For the next FOUR DAYS, nothing was done to fix, dry or help our misplaced family. Items in the unit started to mildew and the sour smell of stagnate water filled the unit. My family had to stay with family and hotels during my wife's vacation as she is a teacher. There was ZERO communication from the apartment complex or management company to help accommodate my family. Multiple emails were sent to property management. On Dec. 29 after calling the Memphis corporate office, fans were finally placed in the unit to help dry the soaked carpet and sheetrock. Then another four days passed with ZERO communication. They still expected me to pay rent and assessed a late penalty as well as refusing to pay my deductible for rental insurance Finally on January 4th, 12 days after the flood, I threatened legal action and someone came to my unit to assess the damage and establish a schedule to fix all repairs needed. They have treated multiple other tenants very similar. Video is available upon request. File larger than allowed.",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525141,Answered,01/20/2023,Business response,"On December 24th at 5:37pm ****************** was contacted about a sprinkler line break causing damage to 11 units. There were challenges getting a restoration company onsite on Christmas Eve.  The restoration company did arrive at 3:00am Christmas morning and worked in 2 units, none of which were the ****** unit.  Restoration started in the ****** unit on December 29th.  On January 4th, **************** came into the office and stated his attorney instructed him to inform us that he was taking us to Civil Court if his unit wasn't completed by January 9th.  Of the 11 units affected, the ****** unit was the first to be completed as of January 6th.  ",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525130,Resolved,12/28/2022,Initial Complaint,"On 12.24.22 I received a call from the ************** property manager at Echo ********** asking if I was home and since I wasn't she said I should check on my apartment as a unit in the community has pipes that burst. When I arrived I never imagined I would see my entire apartment being soaked with water with no management team members on site to assist, cut off the water and access the damage. We were never offered a hotel, access to a vacant unit or anything at all. My family has been displaced and we have had to raise funds to cover the out of pocket expense and the Property Manager only said reach out to your insurance.Although I have filed a claim with Allstate its been 4 days with no plan, apologies or updates on the plan. I've emailed and called customer service and there's been no reply.After I brought it to their attention that the Water removal company never arrived until days after the initial incident there was no sense of urgency nor compassion for my family.Fogelman is beyond negligent by having a vacant unit not having the unit heated etc. They also don't care aobut the very tenants that help fill the units. I'm beyond hurt I'm disappointed",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525130,Resolved,01/13/2023,Business response,"BBB case # ********

Fogelman Properties is in receipt of the above referenced customers complaint and appreciates the opportunity to respond. 

Like many others in the metro Atlanta area and around the country,************ and several of her neighbors experienced a water leak in their apartments after the unprecedented and extreme cold temperatures during the Christmas holiday weekend caused a water line to freeze and rupture.  On the night of the water leaks, our property team members and the fire department responded to the property immediately, turned off the water supply to prevent further water damage, and assisted as many affected residents as possible. 
As you can imagine, the magnitude of the damage (regionally and nationally) caused by the extreme cold temperatures, especially during holiday celebrations, placed an enormous strain on the availability of resources.  Nevertheless, unlike many other properties, our property team was able to find an emergency response company to begin water extraction and drying that night.  However, because of the large number of impacted apartments, and the limited resources (personnel and equipment)available to address those many impacted apartments, some apartments, including Ms. ****** could not be immediately addressed. Still, as soon as additional personnel and equipment arrived, the repairs in Ms. ***** apartment commenced and continue. 

Unfortunately, the damage to Ms. ***** home was so substantial that ************ must vacate her apartment while the repairs are completed.  Currently, our community only has two available vacant apartments, and ************ was offered the opportunity to move to one of those, but she did not accept that offer.  Because there are no other relocation options within our community, ************ was instructed to vacate her apartment so that necessary repairs could be completed over the next few months.  We regret this was necessary, but we made this decision after determining it was in the best interest of Ms. ***** comfort and wellbeing.

************ has spoken to our onsite property management team and messaged with a representative from our corporate office on several occasions, and they have explained the magnitude of freeze damage in our community and the Atlanta area and the challenges weve encountered.  Members of our team have also assisted *********** with her renters insurance claim by speaking with her insurance agent.  We understand and are sympathetic with Ms. ***** frustration with the unavoidable and unfortunate circumstances she is facing, and our team has made every reasonable effort to respond to and address Ms. ***** concerns.  
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525130,Resolved,02/23/2023,Customer response," 
Complaint: 18648195

I am rejecting this response because: Echo ********** apartments managed by ******** properties never refunded my deposit, nor have they refunded my rent after my apartment was flooded on ***** in fact they actually put late fees on my account even though I had to live in a hotel for the past two months, they terminated my lease and I turned in the keys on 1/16. I even have an email from ***** the property manager asking for my forwarding address, I've sent it several times and no monies have been sent or received.

Sincerely,

*************
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525130,Resolved,03/15/2023,Business response,"Thank you for providing another opportunity to respond. 

************ did not pay a security deposit when she moved in, so she is not owed a deposit refund. 

Like several other residents of our community, ************ was asked to move because of the extent of damage in her home caused by the unprecedented freezing temperatures.  ************ did not communicate to our team that she had moved out and she left many of her undamaged belongings in her apartment, which confused the issue of whether she had vacated the unit.  ******** Ms. ***** attorney took three weeks to respond to our inquiry as to whether ************ had vacated the apartment and abandoned her belongings. 

************ paid her December 2022 rent, and the unavoidable leak caused by an act of nature occurred in her apartment on December 24, 2022.  Now that her attorney has verified that ************ vacated her apartment and abandoned the undamaged belongings she left behind, **** will refund Ms. ***** prorated rent for the eight (8) days in December after her apartment was damaged.  ************ did not pay ******* or February rent, so no refund is available.

Thank you again for allowing us to respond.  We will appreciate the opportunity to respond to any further correspondence on this matter.
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525130,Resolved,03/15/2023,Customer response," 
Better Business Bureau:

I have reviewed the response made by the business in reference to complaint ID ********, and I accept their proposed resolution.

Sincerely,

*************
10105 ************* Apt 123
**********, ** 30009",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525140,Answered,12/13/2022,Initial Complaint,"I lived at The ******* for two years in two different units. I moved out October 8th, 2022 and it is going on 3 months now and I still have yet to receive my security deposit back. I have reached out to both The ******* and corporate numerous times, and all it seems they do is ignore you. Im 99% sure The ******* has actually blocked my phone number.I have never had such a flat out horrible experience with an apartment complex as I have with The *******, and Fogelman Properties now. I had lived at that complex for two total years, first in Unit **** and second in Unit ****. Between those two years, here are a few of the issues I have had:- Unfixable water heater issues, leaving us without hot water for 4+ months of my first lease in **** - An air conditioning unit fire at my building in ****, where NO communication was made from the property after.- My electrical main wire in Unit **** being switched with the apartment across from mine, leaving me to pay for a 2x2s electric bill instead of my 1x1 for almost an entire year. Where **** EMC could not help because The ******* management/maintenance had tampered with it and corrected the issue before **** EMC came out to investigate. - Leasing office staff hanging up on me multiple times. (**************************************)- I am 99% sure the leasing office has blocked my cell phone number. I would call multiple times on my cellphone. But when I would call from a different number, they would answer almost instantly.- In Unit **** we had water leaking through our LIGHT FIXTURES in our kitchen, and maintenance was annoyed we called and wanted to come out the next day instead.- When I moved out and went to turn in my keys in the middle of the day, no one was in the office so I had to slide my keys under someones door with a napkin that had my name, date and time written on it.",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525140,Answered,12/15/2022,Business response,"We have verified that the check was mailed on, or about, 12/8 to the address on *************************** that you have listed in your e-mail.

Your feedback regarding your experience at ****************** is appreciated.

We apologize for your inconvenience. ",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525129,Resolved,12/05/2022,Initial Complaint,"I have been on BBB about the exact same issue a faulty piping system that needs to be internally fixed completely-this time it was an entire apartment leak/flood. Which has caused property damages,water damage/mildew to my clothing, and water damage/mildew to my personal belongings/household items. I have put in over several maintenance request for this SAME Issue and other things in the apartment unit and the situation went I acknowledged and after visiting and calling the office a few times the leaking ceiling was finally acknowledged on 12/3/22 but improperly handled which the private contractors they hired caused a flooded one bedroom apartment from my living to my bedroom there was over 2-3inches of water. I have documented everything and even reached out to the propertys manager however I have gotten no response nor proper acknowledgement of the maintenance issues being fixed. I have asthma and I am pre diabetic this is a health hazard for me-i cant breathe in my own home! And I have no family to stay with until these issues are fixed, my home smells molded,its wet/damp,and destroyed.I would whole heartedly like to discontinue renting from this managementeven online ************* other tenants have similar problems. They are scamming people out of their money and once your name is signed on the contract they treat you with no respect,no security, nor acknowledge your maintenance requestbut love to collect their rent on time.",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525129,Resolved,12/19/2022,Business response,"This resident is vacating the community and her request to have December rent refunded has been approved.
",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Problems with Product/Service,1590525129,Resolved,12/20/2022,Customer response," 
Better Business Bureau:

I have reviewed the response made by the business in reference to complaint ID ********, and as long as they uphold their word/guarantee about my refund for the rent for the month of December, since I have NOT been able to live in the apartment since the incident . I find that this resolution is satisfactory to me.

Sincerely,

*********************************",https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
