name,categories,address,phone,rating,url
Willow Oaks Apartment,Apartments,"2459 Ketchum Road,
Memphis, TN 38114",(901) 745-8333,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/willow-oaks-apartment-0543-44065695
Pendleton Place Apartments,Apartments,"1780 Pendleton St,
Memphis, TN 38114-3832",(901) 744-3945,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/pendleton-place-apartments-0543-44061666
"My Management, LLC",Apartments,"1875 Keltner Cir,
Memphis, TN 38114-4609",(901) 345-1745,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/my-management-llc-0543-44038454
Crockett Park Place Apartments,Apartments,"2645 Davey Dr,
Memphis, TN 38127-2814",(901) 353-0283,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/crockett-park-place-apartments-0543-44141715
Trezevant Apartments,Apartments,"3431 Trezevant,
Memphis, TN 38127",(901) 337-0300,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/trezevant-apartments-0543-44153738
"ALCO Management, Inc.","Property Management, Apartments","2801 Raja Rd (Breezy Point Apartments),
Memphis, TN 38127-7919",(901) 358-1328,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","3131 Madewell St (Greenbriar Apartments),
Memphis, TN 38127-6217",(901) 358-3026,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","3707 Pershing Park Dr (Pershing Park Apartments),
Memphis, TN 38127-5430",(901) 357-7731,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","2818 Green Terrace Dr (Rolling Hills Apartments),
Memphis, TN 38127-8118",(901) 357-6824,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
"ALCO Management, Inc.","Property Management, Apartments","1541 Northside Dr (Todd Creek Apartments),
Memphis, TN 38127-3810",(901) 353-4368,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
Whitney Manor Apartments,Apartments,"3081 Saint Charles Dr Apt 3,
Memphis, TN 38127-7230",(901) 358-2128,BBB Rating: B-,https://www.bbb.org/us/tn/memphis/profile/apartments/whitney-manor-apartments-0543-44053260
"WI Memphis, LLC","Apartments, Property Management","1749 Gowan Dr,
Memphis, TN 38127-5509",(901) 614-4805,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
"WI Memphis, LLC","Apartments, Property Management","1505 Rainey Drive,
Memphis, TN 38127",(901) 743-4982,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
Casa Bonita Apartments,Apartments,"4236 Overton Crossing St,
Memphis, TN 38127-3416",(901) 201-4858,BBB Rating: B-,https://www.bbb.org/us/tn/memphis/profile/apartments/casa-bonita-apartments-0543-44123282
Beacon Manor Apartments,Apartments,"3923 Barbourville Dr,
Memphis, TN 38127-4169",(901) 353-7002,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/beacon-manor-apartments-0543-44049436
Range Line Place,Apartments,"3403 Range Line Rd,
Memphis, TN 38127-6848",(901) 358-8865,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/range-line-place-0543-44083914
Ridgecrest Apartments,Apartments,"2570 Woodcliff Dr,
Memphis, TN 38127-1200",(901) 353-4691,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/ridgecrest-apartments-0543-44067138
Annie's Townhomes,Apartments,"2603 Projest Dr.,
Memphis, TN 38127",(901) 357-1758,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/annies-townhomes-0543-44081435
Westside Manor Apartments,Apartments,"931 frayser Blvd,
MEMPHIS, TN 38127",,BBB Rating: B+,https://www.bbb.org/us/tn/memphis/profile/apartments/westside-manor-apartments-0543-44181890
Renaissance of Steel Apartments,Apartments,"3085 Steal Street,
Memphis, TN 38127",(901) 244-2601,BBB Rating: D+,https://www.bbb.org/us/tn/memphis/profile/apartments/renaissance-of-steel-apartments-0543-44179726
Ascension Towers,Apartments,"3910 Stuart Rd,
Memphis, TN 38111",(901) 454-1108,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/ascension-towers-0543-44033119
The Nine at Memphis,Apartments,"3565 Mynders Ave,
Memphis, TN 38111-1647",(901) 480-4700,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/the-nine-at-memphis-0543-44122720
Audubon Park Place Apartments,"Property Management, Apartments","939 Getwell Rd,
Memphis, TN 38111-7438",(901) 552-4039,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/audubon-park-place-apartments-0543-44046272
Sherwood Apartments,Apartments,"3667 Rhodes Ave,
Memphis, TN 38111",(901) 323-9839,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/sherwood-apartments-0543-44082005
"Fogelman Properties, Inc.","Property Management, Apartments, Real Estate Consultant","3204 Sharpe (Cherokee Cabana),
Memphis, TN 38111",(901) 744-8761,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/fogelman-properties-inc-0543-1144
Envolve Communities,"Property Management, Apartments","Highland Terrace 366 S Highland Street,
Memphis, TN 38111",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Mimosa Garden 461 S. Highland,
Memphis, TN 38111",(901) 327-9971,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Williamsburg Manor 461 S. Highland,
Memphis, TN 38111",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Highlander 461 S. Highland,
Memphis, TN 38111",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
"ALCO Management, Inc.","Property Management, Apartments","3717 Robin Park Cir (Robinhood Park Apartments),
Memphis, TN 38111-6203",(901) 744-1650,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/alco-management-inc-0543-24000191
Commons at Brentwood,Apartments,"640 Aspire Ln,
Memphis, TN 38111",,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/commons-at-brentwood-0543-44156473
The Stratum on Highland,Apartments,"510 S. Highland,
Memphis, TN 38111",(901) 324-2707,BBB Rating: A,https://www.bbb.org/us/tn/memphis/profile/apartments/the-stratum-on-highland-0543-44043106
"Wofford Realty,Co.",Apartments,"1918 Ezell St,
Memphis, TN 38111-7813",(901) 324-6484,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wofford-realtyco-0543-44001848
"Wofford Realty,Co.",Apartments,"3333 Poplar Ave,
Memphis, TN 38111-4672",(901) 486-4791,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wofford-realtyco-0543-44001848
The Willows,Apartments,"3969 Willow Cv,
Memphis, TN 38111-7160",,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/the-willows-0543-44119552
Harmony Park Apartments,Apartments,"3389 Steve Rd,
Memphis, TN 38111-4826",(901) 744-6011,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/harmony-park-apartments-0543-44067065
"WI Memphis, LLC","Apartments, Property Management","3389 Steve Rd,
Memphis, TN 38111-4825",(901) 614-4798,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
"WI Memphis, LLC","Apartments, Property Management","641 Southern Oaks Pl Apt 1,
Memphis, TN 38111-4377",(901) 614-4824,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
"WI Memphis, LLC","Apartments, Property Management","3439 Southern Ave Apt 1,
Memphis, TN 38111-4369",(901) 743-4982,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
"Broadmoor Property Management, LLC","Property Management, Apartments","3092 Poplar Ave STE 17,
Memphis, TN 38111-3536",(901) 276-3607,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/broadmoor-property-management-llc-0543-44010778
Campus Heights,Apartments,"641 Southern Oaks Pl,
Memphis, TN 38111-8210",(901) 325-4088,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/campus-heights-0543-44072475
"My Management, LLC",Apartments,"1566 Stribling St,
Memphis, TN 38111-6324",(901) 345-1745,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/my-management-llc-0543-44038454
Yugo Memphis Southern,Apartments,"3655 Southern Ave,
Memphis, TN 38111-5829",(901) 458-5580,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/yugo-memphis-southern-0543-44124658
Glendale Apartments,"Senior Living, Apartments","3910 Stuart Rd,
Memphis, TN 38111-6520",(901) 454-1108,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/senior-living/glendale-apartments-0543-44151431
"Chasseur Realty Investors, LLC",Apartments,"371 N Highland St,
Memphis, TN 38122-4586",(901) 820-0410,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/chasseur-realty-investors-llc-0543-44140743
Envolve Communities,"Property Management, Apartments","Blairhouse 491 N Highland St,
Memphis, TN 38122",(901) 452-2411,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Macon Manor Apartments,Apartments,"4517 Macon Rd,
Memphis, TN 38122-2116",(901) 682-9700,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/macon-manor-apartments-0543-44142335
"J.D. Marks, Inc., Realtors","Property Management, Apartments, Real Estate Consultant","3822 Summer Ave,
Memphis, TN 38122-5210",(901) 327-7800,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/jd-marks-inc-realtors-0543-1633
"J.D. Marks, Inc., Realtors","Property Management, Apartments, Real Estate Consultant","PO Box 22422,
Memphis, TN 38122-0422",(901) 327-7800,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/jd-marks-inc-realtors-0543-1633
"WI Memphis, LLC","Apartments, Property Management","810 Bartlett Rd,
Memphis, TN 38122-3010",(901) 614-4740,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/wi-memphis-llc-0543-44058998
Summer Grove Apartments,Apartments,"595 Cadraca Drive, #15,
Memphis, TN 38122",(901) 682-0864,BBB Rating: NR,https://www.bbb.org/us/tn/memphis/profile/apartments/summer-grove-apartments-0543-44066940
Grahamwood Place Apartments,Apartments,"4045 Summer Ave,
Memphis, TN 38122-5297",(901) 209-4069,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/grahamwood-place-apartments-0543-44064994
Rose Investments,Apartments,"1088 National St Apt 9,
Memphis, TN 38122-3240",(901) 323-5282,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/apartments/rose-investments-0543-44010917
Winchester Grove Apartments,Apartments,"1305 Turkey Run Ln,
Memphis, TN 38116-3273",(901) 345-5200,BBB Rating: A-,https://www.bbb.org/us/tn/memphis/profile/apartments/winchester-grove-apartments-0543-44141723
Mill Creek Apartments,Apartments,"4537 Mill Stream Drive,
Memphis, TN 38116",(901) 345-9100,BBB Rating: F,https://www.bbb.org/us/tn/memphis/profile/apartments/mill-creek-apartments-0543-44074598
Bantam Springbrook Apartments,Apartments,"1360 springbrook ave,
Memphis tn, TN 38116",(901) 402-8889,BBB Rating: F,https://www.bbb.org/us/tn/memphis-tn/profile/apartments/bantam-springbrook-apartments-0543-44151202
Envolve Communities,"Property Management, Apartments","Hillcrest 4155 East Wind Drive #1,
Memphis, TN 38116",(901) 398-1378,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","The Posts 4485 Hudgins Road,
Memphis, TN 38116",(901) 398-4502,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
Envolve Communities,"Property Management, Apartments","Oakshire Apartments 1717 Crimson Cir,
Memphis, TN 38116-9103",(901) 435-7700,BBB Rating: A+,https://www.bbb.org/us/tn/memphis/profile/property-management/envolve-communities-0543-11834
