date,meeting_title,action,motion
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.13 2018-2019 SCBE Legislative Agenda,"It is recommended that the Shelby County Board of Education adopts the 2018-2019 Legislative Agenda.

Motion by Scott McCormick, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.14 Ida B. Wells ES HVAC,"It is recommended that the Shelby County Board of Education rescind the Board Agenda Item 11.8 contract amendment of Morgan Thornburg Mechanical for Ida B. Wells HVAC repairs dated October 30, 2018 in the amount of $463,520.00 and amend the contract of Morgan Thornburg Mechanical to the amount of $341 ,494.00 to cover additional HVAC components required by Code Enforcement as part of the installation of new HVAC equipment for Ida B. Wells Elementary School The previous total contract amount was $2,057,400.00 which included the base bid of $1,454,000.00, a 10% board contingency of $145,400.00, a performance bond of $18,000.00, an allowance of $90,000 and an add alternate of $350,000.00.

Motion by Scott McCormick, second by Stephanie P Love.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Dec 4, 2018 (Tue)",December Board Business Meeting,13.15 Amendment: SCBE 2018-2019 Legislative Agenda,"It is recommended that the Shelby County Board of Education adopts the amendment to the 2018-2019 Legislative Agenda.

Motion by Stephanie P Love, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Nov 13, 2018 (Tue)",Special Called Meeting,6.1 Grant: Head Start Grant Application,"It is recommended that the Shelby County Board of Education approve the Head Start Grant application.

Motion by Stephanie P Love, second by Teresa Jones.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Teresa Jones, Stephanie P Love, Scott McCormick, Kevin Woods, Joyce D Coleman"
"Oct 30, 2018 (Tue)",October Board Business Meeting,"7.1 Approval of the Minutes of the September 25, 2018 Business Meeting","It is recommended that the Shelby County Board of Education approves the minutes of the September 25, 2018, Business Meeting.

Motion by Michelle R McKissack, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,"7.2 Approval of the Minutes of the October 25, 2018, Work Session","It is recommended that the Shelby County Board of Education approves the minutes of the October 25, 2018, Work Session.

Motion by Michelle R McKissack, second by Scott McCormick.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.1 Approval of Consent Agenda,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.2 TNDOE Emergency Impact Aid Grant,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.3 Procurement: Discovery Education,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.4 iPad Purchase Proposal -Head Start School-Based Classrooms,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.5 2018-2019 (2ND Quarter: Nov 2018-Feb 2019) - Fresh Fruit & Vegetable Program,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.6 2018-19 (2ND QTR: NOV-FEB 2019) Produce - All School Sites,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.7 Surplus of Grays Creek Administrative Campus,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.8 Contract Amendment: Ida B. Wells ES HVAC,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.9 Contract Amendment: Longview MS Demolition,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.10 Contract Amendment: Dunbar Elementary School HVAC,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.11 AdvancEd Acreditation Annual Renewal,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
"Oct 30, 2018 (Tue)",October Board Business Meeting,11.12 Resolution Approving the Shelby County Board Of Education's Assignment of General Fund Balance Fiscal Year 2018-2019,"It is recommended that the Shelby County Board of Education approves the October 30, 2018 Consent Agenda.

Motion by Scott McCormick, second by Joyce D Coleman.
Final Resolution: Motion Passes
Affirmative: Shante Avant, Miska Clay Bibbs, Teresa Jones, Stephanie P Love, Scott McCormick, Billy Orgel, Kevin Woods, Joyce D Coleman, Michelle R McKissack"
